Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-029015,2018-06,03/07/2018 04:10,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1000,WASHINGTON AVE,35, ,NUISANCE ABATEMENT PROPERTY,1000,WASHINGTON,907483,1018737
18-028463,2018-06,03/07/2018 13:54,Y, , ,1, ,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,3880,WASHINGTON AVE,77,TUCKER TIRE SERVICE, ,3880,WASHINGTON,895057.9,1022613
18-010957,2018-06,03/10/2018 17:00, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4301,WARNE,68, , ,4301,WARNE,0,0
18-012592,2018-06,03/17/2018 16:30, , , ,-1, ,117000,6,FAILURE TO RETURN BORROWED/RENTED VEHICL,3719,EUCLID,69, , ,3719,EUCLID,0,0
18-025699,2018-06,03/18/2018 10:18,Y, , ,1, ,101000,1,FORGERY,4706,S KINGSHIGHWAY BLVD,5, ,@REGIONS BANK,4706,KINGSHIGHWAY,884246.3,1002060
18-012177,2018-06,03/18/2018 20:30, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1000,SPRUCE,35, , ,1000,SPRUCE,0,0
18-029004,2018-06,03/18/2018 22:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1000,WASHINGTON AVE,35, ,NUISANCE ABATEMENT PROPERTY,1000,WASHINGTON,907483,1018737
18-026111,2018-06,03/19/2018 11:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,2607,ST VINCENT AVE,31, , ,2607,ST VINCENT,899959.6,1013899
18-013184,2018-06,03/24/2018 21:00, , , ,-1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4176,MANCHESTER,39, ,PRIVATE PARKING LOT,4176,MANCHESTER,0,0
18-029214,2018-06,03/25/2018 10:10,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,716,OFALLON ST,62, ,NUISANCE ABATEMENT PROPERTY,716,OFALLON,909234.4,1021044
18-027767,2018-06,03/25/2018 12:00,Y, , ,1, ,242000,2,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,4466,CHOUTEAU AVE,39, ,APT A,4466,CHOUTEAU,888653.9,1018385
18-013416,2018-06,03/26/2018 17:40,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,10001,RIVERVIEW BLVD,75, ,FRONT LAWN,1001,RIVERVIEW,0,0
18-027056,2018-06,03/27/2018 12:00,Y, , ,1, ,185000,3,DRUGS-OBTAIN BY FRAUD/FORGERY,3933,S BROADWAY,16, ,2ND FLOOR ADMINISTRATION,3933,BROADWAY,897890.5,1001421
18-013550,2018-06,03/27/2018 16:19,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,4400,BIRCHER BLVD,69, ,STREET, , ,897186.6,1037473
18-026994,2018-06,03/28/2018 05:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8450,GAST PL,74, ,@BADEN HOUSE,8450,GAST,896704.1,1049972
18-029155,2018-06,03/30/2018 16:50,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1511,COCHRAN PL,61, ,NUISANCE ABATEMENT PROPERTY,1511,COCHRAN,906384.9,1022404
18-026385,2018-06,04/01/2017 09:45,Y, , ,1, ,103000,1,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3748,DELOR ST,16, ,COMMERCIAL BUILDING,3748,DELOR,890428.1,998187.1
18-024493,2018-06,04/01/2018 04:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1235,HODIAMONT AVE,48, , ,1235,HODIAMONT,879842.8,1032097
18-026515,2018-06,04/01/2018 07:00,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,5200,CHIPPEWA ST,14, ,PAIN MANAGEMENT CLINIC,5200,CHIPPEWA,0,0
18-026624,2018-06,04/01/2018 13:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",4947,W FLORISSANT AVE,71,BELLEFONTAINE CEMETERY, ,4947,FLORISSANT,896017.8,1039954
18-028109,2018-06,04/02/2018 10:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",873,WALL ST,74, , ,873,WALL,896746.6,1051041
18-024972,2018-06,04/03/2018 09:39,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5942,HIGHLAND AVE,50, ,UNIT A,5942,HIGHLAND,882598.2,1035738
18-026412,2018-06,04/03/2018 12:00,Y, , ,1, ,101000,6,FORGERY,1067,BADEN PL,74, , ,1067,BADEN,895844.6,1047711
18-017292,2018-06,04/05/2018 09:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4856,SAN FRANCISCO AVE,69, , ,4856,SAN FRANCISCO,892541.3,1035037
18-029218,2018-06,04/06/2018 17:50,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,926,CASS AVE,62, ,NUISANCE ABATEMENT PROPERTY,926,CASS,908816,1022115
18-027192,2018-06,04/07/2018 12:00,Y, , ,1, , 92000,2,SIMPLE ASSAULT-HARRASSMENT,3157,SUBLETTE AVE,13, ,@SOUTH PATROL DIVISION,3157,SUBLETTE,882564.6,1008801
18-024557,2018-06,04/07/2018 21:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,600,N KINGSHIGHWAY BLVD,38, , ,600,KINGSHIGHWAY,0,0
18-024491,2018-06,04/08/2018 11:59,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2521,HODIAMONT AVE,50, , ,2521,HODIAMONT,882087.8,1035986
18-024490,2018-06,04/08/2018 12:23,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2521,HODIAMONT AVE,50, , ,2521,HODIAMONT,882087.8,1035986
18-028982,2018-06,04/08/2018 16:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1000,WASHINGTON AVE,35, ,NUISANCE ABATEMENT PROPERTY,1000,WASHINGTON,907483,1018737
18-030821,2018-06,04/09/2018 05:44,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,205,N 9TH ST,35,NUISANCE ABATEMENT PROPERTY,@MARK TWAIN HOTEL,205,9TH,907619.9,1017799
18-026799,2018-06,04/09/2018 12:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4612,STEINLAGE DR,69, , ,4612,STEINLAGE,896427.3,1036934
18-026485,2018-06,04/10/2018 01:00,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4244,MIAMI ST,15, , ,4244,MIAMI,888422.6,1005039
18-029576,2018-06,04/10/2018 16:00,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,4455,DUNCAN AVE,38, , ,4455,DUNCAN,889330.6,1021002
18-029178,2018-06,04/11/2018 13:20,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,716,OFALLON ST,62, ,NUISANCE ABATEMENT PROPERTY,716,OFALLON,909234.4,1021044
18-029027,2018-06,04/11/2018 19:52,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1000,WASHINGTON AVE,35, ,NUISANCE ABATEMENT PROPERTY,1000,WASHINGTON,907483,1018737
18-025679,2018-06,04/12/2010 08:03,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6308,FYLER AVE,9, , ,6308,FYLER,878506.9,1008149
18-026578,2018-06,04/13/2018 08:53,Y, , ,1, , 95100,5,"STALKING (HARASSMENT ONLY, NO THREAT)",5617,PERSHING AVE,47, , ,1915,OLIVE,882066.9,1025169
18-024863,2018-06,04/14/2018 14:00,Y, , ,1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,5931,SHERRY AVE,76, , ,5931,SHERRY,889293.9,1044326
18-026795,2018-06,04/14/2018 17:55,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5747,GOODFELLOW BLVD,76, , ,5747,GOODFELLOW,889892.5,1048401
18-027885,2018-06,04/14/2018 20:20,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4849,KOSSUTH AVE,69, , ,4849,KOSSUTH,893162.8,1035992
18-027891,2018-06,04/15/2018 03:56,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6124,N BROADWAY,79, , ,6124,BROADWAY,900558.8,1038456
18-026802,2018-06,04/15/2018 21:32,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5728,W FLORISSANT AVE,72, , ,5728,FLORISSANT,892558.1,1044850
18-025322,2018-06,04/18/2018 06:00,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,7023,MANCHESTER AVE,43, , , , ,874506.4,1013397
18-017191,2018-06,04/18/2018 06:00, , , ,-1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4038,GRAND,67,DOLLAR GENERAL, ,4038,GRAND,0,0
18-025293,2018-06,04/18/2018 08:00,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4927,S KINGSHIGHWAY BLVD,7, ,@ENTERPRISE LEASING,4927,KINGSHIGHWAY,884071.6,1001923
18-025529,2018-06,04/18/2018 11:09,Y, , ,1, ,112020,2,FRAUD-CREDIT DEVICE/UNDER $150,1933,EDWARDS ST,12, , ,1933,EDWARDS,884455,1013672
18-025139,2018-06,04/19/2018 10:18,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,7332,CORONADO AVE,4, , ,7332,CORONADO,884814.2,992285.3
18-030324,2018-06,04/20/2018 17:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3815,S KINGSHIGHWAY BLVD,14, , ,4707,MORGANFORD,884997.7,1004513
18-027930,2018-06,04/22/2018 11:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4125,E LEXINGTON AVE,56, , ,4125,LEXINGTON,898032.1,1030880
18-018040,2018-06,04/24/2018 00:01, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2037,OBEAR,66, , ,2037,OBEAR,0,0
18-030289,2018-06,04/24/2018 09:00,Y, , ,1, , 51322,4,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1122,WASHINGTON AVE,35, , ,1122,WASHINGTON,907067.3,1018844
18-018283,2018-06,04/25/2018 12:30,Y, , ,1, ,182130,6,DRUGS-POSSESSION/HEROIN,4800,BIRCHER BLVD,69, ,ROADWAY, , ,894619.3,1037503
18-027699,2018-06,04/26/2018 12:06,Y, , ,1, ,103000,2,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,4142,JUNIATA ST,15, , ,4142,JUNIATA,889639.9,1008079
18-026792,2018-06,04/27/2018 01:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,9,NORTH EUCLID,38, , ,9,NORTH EUCLID,0,0
18-024667,2018-06,04/28/2016 10:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,7722,MINNESOTA AVE,2, , ,7722,MINNESOTA,888563.1,988202.2
18-028238,2018-06,04/28/2018 17:50,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,823,GUSTAV AVE,74, , ,823,GUSTAV,897410.3,1052718
18-027898,2018-06,04/28/2018 20:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,10828,LOOKAWAY DR,75, , ,10828,LOOKAWAY,910124.6,1067250
18-018884,2018-06,04/29/2018 01:55, , , ,1, ,263120,1,OBSTRUCT GOVRN OP-FALSE REPORT,5530,LOUISIANA,1, , ,5530,LOUISIANA,0,0
18-018884,2018-06,04/29/2018 01:55, , , ,-1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5530,LOUISIANA,1, , ,5530,LOUISIANA,0,0
18-028959,2018-06,05/01/2018 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,4400,LINDELL BLVD,38, , ,4400,LINDELL,890198.6,1022484
18-027862,2018-06,05/01/2018 12:00,Y, , ,1, ,112010,4,FRAUD-CREDIT DEVICE/OVER $150,1023,N GRAND BLVD,77, , ,27,HENRIETTA,897528,1023141
18-025541,2018-06,05/01/2018 12:02,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,4014,UNION BLVD,70, ,@NPD,4014,UNION,890074.4,1037079
18-026996,2018-06,05/01/2018 15:30,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,3519,N GRAND BLVD,59, , ,4830,KOSSUTH,900693,1029270
18-027706,2018-06,05/01/2018 21:43,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3841,GILES AVE,16, , ,3841,GILES,892456.8,1002797
18-028240,2018-06,05/02/2018 14:55,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8450,GAST PL,74, ,@BADEN HOUSE,8450,GAST,896704.1,1049972
18-019613,2018-06,05/02/2018 18:00, , , ,1, ,263120,3,OBSTRUCT GOVRN OP-FALSE REPORT,2508,12TH,21, ,: APT 1,2508,12TH,0,0
18-019613,2018-06,05/02/2018 18:00, , , ,-1, , 71030,3,AUTO THEFT-PERM RETNT/JOY RIDE,2508,12TH,21, ,: APT 1,2508,12TH,0,0
18-019671,2018-06,05/03/2018 09:30,Y, , ,1, ,151110,1,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,3200,DAKOTA ST,16, , ,3200,DAKOTA,894208.8,998239.5
18-024797,2018-06,05/03/2018 12:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1212,N 13TH ST,61, , ,1212,13TH,907266.4,1021102
18-028243,2018-06,05/04/2018 18:01,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,10832,LOOKAWAY DR,75, , ,10832,LOOKAWAY,910124.6,1067250
18-028255,2018-06,05/04/2018 19:35,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,842,RIVER RUN CT,75, , ,842,RIVER RUN,899316.4,1054473
18-025532,2018-06,05/05/2018 12:00,Y, , ,1, , 51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5259,PAULIAN PL,52, ,VACANT RESIDENCE,5259,PAULIAN,886792.3,1031664
18-029746,2018-06,05/05/2018 16:30,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,6557,MANCHESTER AVE,43, , ,6557,MANCHESTER,877517.5,1014733
18-020105,2018-06,05/05/2018 20:05,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1214,N 9TH ST,62, , , , ,908529.5,1020719
18-024256,2018-06,05/05/2018 22:30,Y, , ,1, , 41016,5,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,4535,MCMILLAN AVE,54, , ,1114,MARKET,890940.5,1026838
18-020134,2018-06,05/06/2018 01:50,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,601,CLARK AVE,35, ,@BALLPARK VILLAGE,601,CLARK,908223.8,1016086
18-020268,2018-06,05/06/2018 21:40,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,0,N 20TH ST / LOCUST ST,36, , , , ,903611.1,1019495
18-020392,2018-06,05/07/2018 14:25,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,DELMAR BLVD / N TAYLOR AVE,38, , , , ,890637.1,1025747
18-026914,2018-06,05/07/2018 19:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,1442,TEMPLE PL,78, , ,1442,TEMPLE,883689.6,1032507
18-020716,2018-06,05/09/2018 11:57,Y, , ,1, ,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,8880,N BROADWAY,74,SPEEDIE GAS, ,8880,BROADWAY,897929.1,1053370
18-020753,2018-06,05/09/2018 13:00,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,5830,SELBER CT,50, , ,5830,SELBER,885088.8,1037930
18-020839,2018-06,05/09/2018 15:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",4300,SHREVE AVE,69, ,@ INTERSECTION OF SHREVE & CALVIN, , ,894203.2,1036774
18-026524,2018-06,05/10/2018 12:00,Y, , ,1, ,117000,3,FAILURE TO RETURN BORROWED/RENTED VEHICL,2150,VICTOR ST,22, , ,2150,VICTOR,900163.1,1009326
18-027661,2018-06,05/10/2018 14:05,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
18-025198,2018-06,05/10/2018 20:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3131,OSCEOLA ST,17, , ,3131,OSCEOLA,894664.7,999022.3
18-029631,2018-06,05/11/2018 06:00,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",939,WILMINGTON AVE,1,VICTIM S RESIDENCE,VICTIM S RESIDENCE,939,WILMINGTON,890599.9,994601.5
18-021037,2018-06,05/11/2018 08:00,Y, , ,1, ,151130,3,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,1426,PEABODY CT,33,PEABODY HOUSING COMPLEX, ,1437,HICKORY,904206.2,1013767
18-027671,2018-06,05/11/2018 14:30,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
18-028651,2018-06,05/11/2018 17:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,1641,S KINGSHIGHWAY BLVD,12,UHAUL STORAGE, ,1641,KINGSHIGHWAY,886712.8,1014540
18-024113,2018-06,05/12/2018 17:30,Y, , ,1, , 63701,4,LARCENY-SHOPLIFT UNDER $500,1925,WASHINGTON AVE,36, , ,1925,WASHINGTON,903934.5,1019898
18-027701,2018-06,05/12/2018 23:09,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3923,CHIPPEWA ST,15, , ,3923,CHIPPEWA,890901.7,1003595
18-025418,2018-06,05/13/2018 07:00,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,3742,S BROADWAY,18, , ,3742,BROADWAY,898863.3,1002882
18-026036,2018-06,05/13/2018 12:00,Y, , ,1, , 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2110,WITHNELL AVE,22, , ,2110,WITHNELL,899682.1,1005739
18-025192,2018-06,05/13/2018 17:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,9137,CHURCH RD,74, , ,9137,CHURCH,896348.1,1053138
18-027709,2018-06,05/13/2018 20:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8125,MICHIGAN AVE,2, , ,8125,MICHIGAN,887214.7,987638.4
18-021578,2018-06,05/14/2018 18:33,Y, , ,1, ,182260,1,DRUGS-POSSESSION/METHAMPHETAMINE,500,IRON ST,1, , , , ,891475.5,992710
18-025357,2018-06,05/14/2018 22:00,Y, , ,1, ,204200,0,FAMILY & CHILD CRIME-CNTRIB DELINQ MINOR,11952,BRANRIDGE RD,0, , ,4512,ASHLAND,889132.9,1074969
18-026608,2018-06,05/15/2018 11:40,Y, , ,1, , 52122,4,BURGLARY-BUSINESS/DAY/UNLAW ENT/UNOCCUPIED,1447,OFALLON ST,61, , ,1447,OFALLON,906561.6,1022276
18-027888,2018-06,05/15/2018 12:25,Y, , ,1, ,101000,2,FORGERY,5627,EICHELBERGER ST,7, , ,5627,EICHELBERGER,880188.7,1000969
18-028041,2018-06,05/15/2018 14:08,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4049,SCHILLER PL,5, , ,4049,SCHILLER,887849.9,998601.3
18-027039,2018-06,05/15/2018 17:40,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3350,S KINGSHIGHWAY BLVD,15, , ,3300,KINGSHIGHWAY,885872.5,1006612
18-027047,2018-06,05/16/2018 00:01,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4140,WASHINGTON AVE,38, , ,4140,WASHINGTON,893135.4,1023678
18-026822,2018-06,05/16/2018 17:00,Y, , ,1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,8520,PARK LN,73, , ,8520,PARK,892296,1049000
18-025174,2018-06,05/17/2018 09:30,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",6105,ETZEL AVE,48, , ,6105,ETZEL,879425.1,1031441
18-022079,2018-06,05/17/2018 13:00,Y, , ,1, ,151110,1,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,3956,DUNNICA AVE,16, ,APARTMENT COMPLEX,3956,DUNNICA,890490.9,1003054
