Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-012512,2018-03,03/20/2018 00:01,Y, , ,1, , 38111,3,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,3700,PENNSYLVANIA,18, ,SUSPECT S HOUSE, , ,898351.1,1002487
18-012497,2018-03,03/20/2018 05:15,Y, , ,1, , 38111,6,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,8815,N BROADWAY,74, , ,8815,BROADWAY,897615.1,1052696
18-012603,2018-03,03/21/2018 16:08,Y, , ,1, , 38111,6,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,6165,W FLORISSANT AVE,76, , , , ,890288.4,1048310
18-012648,2018-03,03/21/2018 19:45,Y, , ,1, , 38111,3,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,2905,MINNESOTA AVE,25, , , , ,896477.3,1008567
18-012965,2018-03,03/23/2018 22:16,Y, , ,1, , 38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,1320,LUCAS AVE,36, , ,1320,LUCAS,906183.3,1019394
18-013254,2018-03,03/25/2018 19:00,Y, , ,1, , 38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,4206,N GRAND BLVD,67, ,@HOTEL- ECONOMY INN ROOM 18,4206,GRAND,902337.5,1031732
18-013468,2018-03,03/26/2018 22:00,Y, , ,1, , 38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,3026,LACLEDE AVE,37, , ,4538,ADELAIDE,898759.6,1019061
18-013757,2018-03,03/28/2018 19:55,Y, , ,1, , 38111,1,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,911,IRON ST,1, , , , ,890250,993583.6
18-013962,2018-03,03/30/2018 01:15,Y, , ,1, , 38111,5,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,6102,PAGE BLVD,48,DJ S PACKAGE LIQUORS, , , ,880243.1,1032803
18-012019,2018-03,03/17/2018 22:30,Y, , ,1, , 38112,3,ROBBERY CARJACKING /FIREARM USED/ATTEMPT,3954,S BROADWAY,18, ,NEW CHINA KING,3954,BROADWAY,898198.6,1001188
18-009859,2018-03,03/04/2018 05:56,Y, , ,1, , 38311,4,ROBBERY CARJACKING /OTHR WEPN USED/SUCCESSFUL,400,N 4TH ST,35, ,@STREETSIDE,400,4TH,909726.3,1018037
