Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-000490,2018-02,01/03/2018 14:05,Y, , ,1, , 41016,6,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,1031,WALL,74, , ,1031,WALL,0,0
18-006167,2018-02,01/04/2018 19:00,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,3701,LINDELL BLVD,77, , ,3701,LINDELL,895417.8,1021428
18-005283,2018-02,01/04/2018 21:00,Y, , ,1, ,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3815,N 21ST ST,65, ,GRANT IRON AND MOTORS INC,3815,21ST,904394.6,1029740
18-000705,2018-02,01/05/2018 02:00, , , ,-1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4624,MACKLIND,7, , ,5354,MACKLIND,0,0
18-002656,2018-02,01/05/2018 12:00,Y, , ,1, , 52322,5,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,3321,UNION BLVD,50, , ,3321,UNION,888717.1,1035557
18-000828,2018-02,01/05/2018 16:00, , , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4265,FAIR,68, , ,4265,FAIR,0,0
18-000828,2018-02,01/05/2018 16:00, , , ,-1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,4265,FAIR,68, , ,4265,FAIR,0,0
18-006144,2018-02,01/05/2018 23:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,2000,E PRAIRIE AVE,66, , ,2000,PRAIRIE,0,0
18-006144,2018-02,01/05/2018 23:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,2000,E PRAIRIE AVE,66, , ,2000,PRAIRIE,0,0
18-007073,2018-02,01/06/2018 08:44,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1400,N. GRAND,59, ,NUISANCE ABATEMENT PROPERTY,1400,N. GRAND,0,0
18-007854,2018-02,01/06/2018 11:30,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3720,N KINGSHIGHWAY BLVD,69, , ,3720,KINGSHIGHWAY,891316,1035410
18-007249,2018-02,01/07/2018 14:40,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1400,N GRAND BLVD,59, ,NUISANCE ABATEMENT PROPERTY,1400,GRAND,898337.4,1024456
18-006110,2018-02,01/08/2018 09:18,Y, , ,1, ,115100,1,FRAUD-STEALING BY DECEIT/OVER $150,6004,MINNESOTA AVE,1, , ,6004,MINNESOTA,892695.5,992785.8
18-006974,2018-02,01/08/2018 12:00,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",3601,LINDELL BLVD,37, ,THE JESUITS NURSING HOME,3601,LINDELL,896530.1,1021053
18-005870,2018-02,01/08/2018 17:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4024,SCHILLER PL,5, ,VACANT RESIDENCE,4024,SCHILLER,887968.3,998343.8
18-008054,2018-02,01/09/2018 21:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3521,BINGHAM AVE,16, , ,3521,BINGHAM,893494.5,999826.4
18-007062,2018-02,01/10/2018 09:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6129,MICHIGAN AVE,1, , ,6129,MICHIGAN,891986.5,992847.1
18-008058,2018-02,01/10/2018 17:48,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4214,MINNESOTA AVE,17, , ,4214,MINNESOTA,895674,999878.2
18-005816,2018-02,01/12/2018 00:01,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3023,EADS AVE,31, , ,3023,EADS,897366.1,1013980
18-001844,2018-02,01/12/2018 00:30, , , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,3920,HAMPTON,14,WALGREEN`S, ,3920,HAMPTON,0,0
18-001844,2018-02,01/12/2018 00:30, , , ,-1, , 69702,2,LARCENY-ALL OTHER UNDER $500,3920,HAMPTON,14,WALGREEN`S, ,3920,HAMPTON,0,0
18-006876,2018-02,01/13/2018 07:46,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5121,WABADA AVE,52, , ,5121,WABADA,888351.8,1032448
18-007891,2018-02,01/13/2018 12:05,Y, , ,1, ,112020,2,FRAUD-CREDIT DEVICE/UNDER $150,7030,NOTTINGHAM AVE,9, , ,7030,NOTTINGHAM,872335.9,1003415
18-006166,2018-02,01/13/2018 16:00,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,820,N KINGSHIGHWAY BLVD,53, ,KUGMAN MOTORS INC,820,KINGSHIGHWAY,887956.8,1026838
18-005849,2018-02,01/13/2018 19:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5100,ENRIGHT AVE,51, , ,5100,ENRIGHT,886728.1,1026670
18-004817,2018-02,01/13/2018 20:00,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,4206,ELLENWOOD AVE,5, , ,4204,ELLENWOOD,887794.5,1001751
18-006360,2018-02,01/14/2018 14:00,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",721,N 17TH ST,36, , ,721,17TH,905047.1,1019783
18-002234,2018-02,01/14/2018 14:00, , , ,1, ,263120,4,OBSTRUCT GOVRN OP-FALSE REPORT, ,FOREST PARK GRAND,37, ,STARBUCK`S, , ,0,0
18-002234,2018-02,01/14/2018 14:00, , , ,-1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500, ,FOREST PARK GRAND,37, ,STARBUCK`S, , ,0,0
18-007434,2018-02,01/15/2018 11:28,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1611,HODIAMONT AVE,50, , ,1611,HODIAMONT,881618.4,1035236
18-002360,2018-02,01/15/2018 14:20,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,1400,N GRAND BLVD,59,WALGREENS, ,1400,GRAND,898337.4,1024456
18-007435,2018-02,01/15/2018 16:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4638,NATURAL BRIDGE AVE,56, , ,4638,NATURAL BRIDGE,893634.8,1033706
18-007902,2018-02,01/15/2018 16:24,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
18-008072,2018-02,01/16/2018 05:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4528,NEBRASKA AVE,17, , ,4528,NEBRASKA,895610.9,997764.3
18-005715,2018-02,01/17/2018 00:01,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1221,LOCUST ST,36,SHELL BUILDING, ,1221,LOCUST,906398.4,1018730
18-004162,2018-02,01/17/2018 02:51,Y, , ,1, ,103000,4,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1407,WASHINGTON AVE,36,FIRST FINANCIAL CREDIT UNION, ,1407,WASHINGTON,906005.4,1019294
18-005477,2018-02,01/17/2018 03:30,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,3708,KEOKUK ST,16, , ,3708,KEOKUK,892331.3,1002428
18-002636,2018-02,01/17/2018 12:00,Y, , ,1, ,182130,2,DRUGS-POSSESSION/HEROIN,4400,CONNECTICUT ST,15, ,ON STREET,4400,CONNECTICUT,887778.3,1008058
18-002842,2018-02,01/18/2018 10:56,Y, , ,1, ,182250,3,DRUGS-POSSESSION/COCAINE,1530,LAFAYETTE AVE,33, ,WALGREEN S PARKING LOT,1915,OLIVE,903270.1,1012207
18-005263,2018-02,01/18/2018 12:00,Y, , ,1, ,117000,3,FAILURE TO RETURN BORROWED/RENTED VEHICL,4102,S GRAND BLVD,16, , ,4102,GRAND,893331.3,1001089
18-009588,2018-02,01/18/2018 12:00,Y, , ,1, ,101000,6,FORGERY,4852,ANDERSON AVE,69, , ,4852,ANDERSON,893693.6,1036970
18-007124,2018-02,01/19/2018 08:00,Y, , ,1, ,112010,3,FRAUD-CREDIT DEVICE/OVER $150,2608,RUTGER ST,31, , ,2608,RUTGER,900179.3,1014602
18-005681,2018-02,01/19/2018 08:49,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND,25, , ,3430,S GRAND,0,0
18-009134,2018-02,01/19/2018 12:20,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,7315,VERMONT AVE,2, , ,7315,VERMONT,888646.9,990205.4
18-005795,2018-02,01/20/2018 08:14,Y, , ,1, ,103000,2,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1110,HIGHLANDS PLAZA DR E,41, , ,1110,HIGHLANDS PLAZA,882622.2,1018117
18-003182,2018-02,01/20/2018 16:20,Y, , ,1, , 43012,1,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,0,MORGANFORD RD / SCHILLER PL,5, , , , ,886500.1,999490.3
18-003184,2018-02,01/20/2018 16:30, , , ,-1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4330,OSCEOLA,5, , ,4330,OSCEOLA,0,0
18-007855,2018-02,01/21/2018 10:04,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3720,N KINGSHIGHWAY BLVD,69, , ,3720,KINGSHIGHWAY,891316,1035410
18-003315,2018-02,01/21/2018 12:30,Y, , ,1, , 41016,4,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,1324,WASHINGTON AVE,36, ,APT 610,1324,WASHINGTON,906107.8,1019097
18-005817,2018-02,01/21/2018 15:00,Y, , ,1, , 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4623,ELMBANK AVE,56, , ,4623,ELMBANK,893254.9,1032729
18-003656,2018-02,01/21/2018 20:00,Y, , ,1, , 44021,5,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN CHLD 1ST DEGRE",4507,MCMILLAN AVE,54, , ,4507,MCMILLAN,891120.7,1026735
18-006186,2018-02,01/22/2018 12:00,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,2925,N MARKET ST,59, , ,2925,MARKET,900827.1,1025431
18-003474,2018-02,01/22/2018 15:26,Y, , ,1, , 36311,5,ROBBERY-COMMERCE PL/OTHR WEP USED/SUCCESS,5935,DELMAR BLVD,48, ,FAMILY DOLLAR,5935,DELMAR,879643.6,1027424
18-006913,2018-02,01/22/2018 16:15,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3650,NEOSHO ST,16, , ,3650,NEOSHO,891673.9,998854
18-008037,2018-02,01/22/2018 23:54,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4916,JAMIESON AVE,8, , ,4916,JAMIESON,875045.6,1002881
18-003643,2018-02,01/23/2018 11:00,Y, , ,1, , 51112,2,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,2908,MACKLIND AVE,13, , ,2908,MACKLIND,883396.7,1009936
18-004158,2018-02,01/23/2018 12:00,Y, , ,1, ,241300,4,DISORDERLY CONDUCT-PEACE DSTRB/SCHOOL,310,N 15TH ST,36,CONFLUENCE PREPARATORY ACADEMY, ,310,15TH,905455.4,1018670
18-006955,2018-02,01/23/2018 12:00,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,2233,WASHINGTON AVE,36,ENTERPRISE RENTAL, ,2233,WASHINGTON,902599.4,1020249
18-007843,2018-02,01/23/2018 12:00,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5600,OAKLAND AVE,41, ,@FOREST PARK COMM COLLEGE,8629,MORA,883501.3,1018059
18-007310,2018-02,01/23/2018 15:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4609,NEWBERRY TER,54, ,VACANT RESIDENCE,4609,NEWBERRY,890812.2,1027744
18-003670,2018-02,01/23/2018 18:50,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5300,NATURAL BRIDGE AVE,50, , , , ,888623.3,1036251
18-003670,2018-02,01/23/2018 18:50,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5300,NATURAL BRIDGE AVE,50, , , , ,888623.3,1036251
18-003670,2018-02,01/23/2018 18:50,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5300,NATURAL BRIDGE AVE,50, , , , ,888623.3,1036251
18-003696,2018-02,01/24/2018 05:00, , , ,-1, ,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5512,VIRGINIA,1, , ,5512,VIRGINIA,0,0
18-005481,2018-02,01/24/2018 10:15,Y, , ,1, ,264100,1,HEALTH-SANITATION VIOL,4914,DEVONSHIRE AVE,7, , ,4914,DEVONSHIRE,883940.5,1002578
18-003749,2018-02,01/24/2018 13:35, , , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,315,CHESTNUT ST,35, ,@HOTEL- HYATT REGENCY,315,CHESTNUT,909422.4,1016993
18-003749,2018-02,01/24/2018 13:35, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,315,CHESTNUT ST,35, ,@HOTEL- HYATT REGENCY,315,CHESTNUT,909422.4,1016993
18-005713,2018-02,01/24/2018 14:32,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,4261,CLAY AVE,68,VACANT LOT, ,4261,CLAY,899595.2,1033859
18-008050,2018-02,01/24/2018 14:45,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6155,S GRAND BLVD,1,DOLLAR GENERAL, ,6155,GRAND,889468,994413.8
18-005968,2018-02,01/24/2018 15:00,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",5621,DELMAR BLVD,48, ,APT 611,5621,DELMAR,882244.1,1027110
18-005743,2018-02,01/24/2018 15:11,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5295,WATERMAN BLVD,38,THE CHESTERFIELD APARTMENT BUILDING, ,5295,WATERMAN,884883.1,1025430
18-003824,2018-02,01/24/2018 19:25,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5640,DR MARTIN LUTHER KING DR,78, , ,5640,DR MARTIN LUTHER KING,883742.3,1033078
18-006769,2018-02,01/24/2018 20:30,Y, , ,1, , 72130,4,AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE,4500,N BROADWAY,64, , ,4500,BROADWAY,905164,1033720
18-004157,2018-02,01/25/2018 01:30,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,310,N 15TH ST,36,CONFLUENCE COLLEGE PREP, ,310,15TH,905455.4,1018670
18-003952,2018-02,01/25/2018 07:00,Y, , ,1, , 91124,6,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",5473,QUEENS AVE,70, , ,4014,UNION,895070.2,1041077
18-005414,2018-02,01/25/2018 10:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5230,LOTUS AVE,52, , ,5230,LOTUS,887539.8,1032239
18-005689,2018-02,01/25/2018 11:40,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1444,KEALTY LN,33, , ,1444,KEALTY,904285,1014042
18-004127,2018-02,01/25/2018 16:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,300,S 10TH ST,35,ST. LOUIS PARKING, ,300,10TH,907002.4,1016501
18-005837,2018-02,01/25/2018 17:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,2624,RUTGER ST,31, , ,2624,RUTGER,899988.6,1014650
18-007232,2018-02,01/25/2018 17:30,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4896,KOSSUTH AVE,69, , ,4896,KOSSUTH,892657.6,1036071
18-004028,2018-02,01/25/2018 18:18,Y, , ,1, , 64601,1,"LARCENY-FROM MTR VEH $500 - $24,999",930,HOLLY HILLS AVE,80, , ,930,HOLLY HILLS,889835.5,993183.7
18-005805,2018-02,01/26/2018 00:01,Y, , ,1, ,112010,4,FRAUD-CREDIT DEVICE/OVER $150,1515,N 13TH ST,60, , ,919,JEFFERSON,907555.6,1022698
18-005631,2018-02,01/26/2018 04:49,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4439,LABADIE AVE,56, , ,4439,LABADIE,894169.8,1031428
18-006115,2018-02,01/26/2018 09:48,Y, , ,1, ,101000,2,FORGERY,6707,PLAINVIEW AVE,9, , ,6707,PLAINVIEW,875355.6,1003883
18-005482,2018-02,01/26/2018 10:45,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,6105,PERSHING AVE,46, , ,6105,PERSHING,878137.8,1025522
18-004187,2018-02,01/26/2018 13:50,Y, , ,1, ,183999,1,DRUGS-SALE/OTHR UNSPEC DRUG,5214,PENNSYLVANIA AVE,17, , ,5214,PENNSYLVANIA,894394,994758.8
18-007067,2018-02,01/26/2018 15:13,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1400,N GRAND,59, ,NUISANCE ABATEMENT PROPERTY,1400,N GRAND,0,0
18-004224,2018-02,01/26/2018 15:45, , , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,3621,NEBRASKA,19, , ,3621,NEBRASKA,0,0
18-004224,2018-02,01/26/2018 15:45, , , ,-1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,3621,NEBRASKA,19, , ,3621,NEBRASKA,0,0
18-006198,2018-02,01/26/2018 18:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,1802,N KINGSHIGHWAY BLVD,55, ,CHURCH S CHICKEN,5559,THEODOSIA,888824.3,1031245
18-004261,2018-02,01/27/2018 01:45,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,601,CLARK AVE,35, ,@BALLPARK VILLAGE,601,CLARK,908223.8,1016086
18-007373,2018-02,01/27/2018 08:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,3164,PENNSYLVANIA AVE,30, , ,3164,PENNSYLVANIA,896767.6,1007068
18-005468,2018-02,01/27/2018 12:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,3216,HENRIETTA ST,31, , ,3216,HENRIETTA,896509.9,1013593
18-005830,2018-02,01/27/2018 13:11,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,24,S SPRING AVE,37, , ,24,SPRING,895243.3,1020191
18-005158,2018-02,01/27/2018 15:05,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5052,VERNON AVE,51, , ,5052,VERNON,887500.3,1028472
18-009187,2018-02,01/27/2018 16:26,Y, , ,1, , 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3956,PENNSYLVANIA AVE,16, , ,3956,PENNSYLVANIA,895831.4,1001472
18-005905,2018-02,01/27/2018 18:30,Y, , ,1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,1026,VERONICA AVE,74, , ,1026,VERONICA,896036.3,1050295
18-005905,2018-02,01/27/2018 18:30, , , ,-1, , 64701,6,LARCENY-FROM MTR VEH UNDER $500,1026,VERONICA AVE,74, , ,1026,VERONICA,896036.3,1050295
18-004823,2018-02,01/27/2018 21:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,416,N 23RD ST,36, , ,1915,OLIVE,902450.4,1019799
18-004521,2018-02,01/28/2018 02:00,Y, , ,1, , 83000,4,ARSON-KNOWINGLY BURNING/SUCCESS,3029,JAMES COOL PAPA BELL,59, , ,3029,JAMES COOL PAPA BELL,0,0
18-004541,2018-02,01/28/2018 13:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4666,ASHLAND AVE,56, , ,4666,ASHLAND,892976.6,1033081
18-004501,2018-02,01/28/2018 14:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4527,LABADIE AVE,56, , ,4527,LABADIE,893458.9,1031820
18-004535,2018-02,01/28/2018 17:45,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1212,N 13TH ST,61,BIDDLE HOUSE, , , ,907266.4,1021102
18-006448,2018-02,01/28/2018 18:00,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,3817,LINDEN TREE LN,9, , ,3817,LINDEN TREE,873591.8,1005931
18-005566,2018-02,01/29/2015 22:12,Y, , ,1, ,112010,4,FRAUD-CREDIT DEVICE/OVER $150,800,WASHINGTON AVE,35,MARRIOTT ST. LOUIS GRAND HOTEL, ,800,WASHINGTON,908187.4,1018534
18-005165,2018-02,01/29/2017 22:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,4700,PENNSYLVANIA AVE,17, , ,1300,GRAND,0,0
18-005857,2018-02,01/29/2018 06:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,5565,WABADA AVE,50, , ,5565,WABADA,885218.1,1034197
18-006099,2018-02,01/29/2018 07:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,500,PINE ST,35,KIENER EAST GARAGE, ,500,PINE,908732.9,1017197
18-005234,2018-02,01/29/2018 07:00,Y, , ,1, , 92000,3,SIMPLE ASSAULT-HARRASSMENT,1601,S TUCKER BLVD,33, , ,919,JEFFERSON,904431.2,1012454
18-004626,2018-02,01/29/2018 09:45,Y, , ,1, , 91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,4265,ATHLONE AVE,68,YEATMAN,@SCHOOL - YEATMAN,4562,ATHLONE,897803.3,1034677
18-005663,2018-02,01/29/2018 11:00,Y, , ,1, , 51122,5,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,5937,PAGE BLVD,78, ,1ST FL,5937,PAGE,881001.8,1032626
18-007008,2018-02,01/29/2018 12:00,Y, , ,1, , 69602,2,"LARCENY-ALL OTHER $500 - $24,999",5441,HAMPTON AVE,8, , ,5441,HAMPTON,879131.4,1000396
18-006060,2018-02,01/29/2018 12:19,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,3725,KOSSUTH AVE,67, , ,3725,KOSSUTH,901219.8,1031470
18-005320,2018-02,01/29/2018 12:50,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,3116,EVANS AVE,59, , ,919,JEFFERSON,899284.4,1024161
18-004824,2018-02,01/29/2018 14:15,Y, , ,1, , 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1004,N JEFFERSON AVE,61,ON SCHOOL BUS ENROUTE FROM,@CARR LANE VPA SCHOOL\@CARR LANE SCH, , ,902535.7,1021759
18-005696,2018-02,01/29/2018 14:21,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,950,LOUGHBOROUGH AVE,1,LOWES, ,950,LOUGHBOROUGH,888490.9,992015.3
18-005727,2018-02,01/29/2018 15:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3851,HARTFORD ST,15, , ,3851,HARTFORD,892203.8,1008377
18-004699,2018-02,01/29/2018 17:10,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,301,S SKINKER BLVD,82, , , , ,876559.9,1022496
